project_id,project_code,project_name,project_type,facility_id,priority,status,active_flag
a6cf5f87-ed0a-4eb6-8850-5d8919a8ea5c,RAIL_RACK_LOADING_ARM_MODIFICATIONS,Rail Rack Loading Arm Modifications,Pre-FID Project Work (DevEx),FAC_AFS,,Active,true
b0275094-6639-4f68-a61b-82284830e758,TANK_FARM_LINER_REPLACEMENT,Tank Farm Liner Replacement,Pre-FID Project Work (DevEx),FAC_AFS,,Active,true
ae3e0dd6-4c1a-4fb4-aa05-189fe00b2447,TANK_LEVEL_TRANSMITTER_AND_LEVEL_SWITCH,Tank Level Transmitter and Level Switch Relocation,Pre-FID Project Work (DevEx),FAC_CLAIR,,Active,true
e8d01216-2a4e-461a-98b2-bee1af9ca78d,VOC_EMISSION_CAPTURE_FROM_TRUCK_TANKS,VOC Emission Capture from Truck & Tanks,Pre-FID Project Work (DevEx),FAC_CRUDE_TERMINALS,,Active,true
e2149f05-5a78-4e5a-a2a9-4d23b14e9383,START_AIR_COMPRESSOR,Start Air Compressor,Pre-FID Project Work (DevEx),FAC_FERNDALE,,Active,true
da1ccc30-0ba2-4d64-854d-7d6945da997d,T1_PHASE_2,T1 - Phase 2,Pre-FID Project Work (DevEx),FAC_FERNDALE,,Active,true
10595e90-b5cf-4752-9bc6-4b85ac69b3c9,PIER_PROGRAM_10_YEAR_PLAN,Pier Program - 10 year plan,Pre-FID Project Work (DevEx),FAC_FERNDALE,,Active,true
e151efb2-ffa2-408c-844b-a36181fb66aa,1_MCC_END_OF_LIFE_REPLACEMENT,#1 MCC End of Life Replacement,Pre-FID Project Work (DevEx),FAC_GRIFFITH,,Active,true
aa55ab4a-f5b6-4167-97fa-d937c6507561,BUCKEYE_C4_BATCHING_PROJECT,Buckeye C4 Batching Project,Pre-FID Project Work (DevEx),FAC_GRIFFITH,,Active,true
eda2bbdd-08da-4e9a-9937-5335481780ca,BUCKEYE_PIPELINE_OVERPRESSURE_OF_FACILIT,Buckeye Pipeline Overpressure of Facility Piping,Pre-FID Project Work (DevEx),FAC_GRIFFITH,,Active,true
afc7097e-3647-4301-95d0-3c1c834ab27e,CONTROL_SYSTEM_END_OF_LIFE,Control System End of Life,Pre-FID Project Work (DevEx),FAC_GRIFFITH,,Active,true
bedfe31c-df0c-43de-beb8-55231ed7daf3,E_I_AS_FOUND_DRAWING_UPDATE,E&I As-Found Drawing Update,Pre-FID Project Work (DevEx),FAC_GRIFFITH,,Active,true
d1e95e70-fc07-4ebf-b71d-8ea75174d5d7,PROPANE_CAVERN_PUMP_P_01_REPLACEMENT,"Propane Cavern Pump, P-01, Replacement",Pre-FID Project Work (DevEx),FAC_GRIFFITH,,Active,true
dffe773e-bddc-4416-b233-26ca88623ae2,V_44_INSTRUMENTATION_RELIABILITY,V-44 Instrumentation Reliability,Pre-FID Project Work (DevEx),FAC_GRIFFITH,,Active,true
5b1569fa-30e4-4af8-8dea-3493ea435db3,WATER_TANK_INSPECTION,Water Tank Inspection,Pre-FID Project Work (DevEx),FAC_RIPET,,Active,true
86ea7846-fc37-4401-ab43-797629898394,SITE_REGRADING,Site Regrading,Pre-FID Project Work (DevEx),FAC_RIPET,,Active,true
5f71e58e-a000-4c3a-9da8-e843fbd0ae27,RIPET_OFFLOADING_REDESIGN,RIPET Offloading Redesign,Pre-FID Project Work (DevEx),FAC_RIPET,,Active,true
f268dd7c-b0ce-48f9-8a78-267e5b80181d,PERMANENT_CHILLING,Permanent Chilling,Pre-FID Project Work (DevEx),FAC_RIPET,,Active,true
ebe915ee-6a18-4763-a3b3-0448a2e164cc,OFFLOAD_OPTIMIZATION,Offload Optimization,Pre-FID Project Work (DevEx),FAC_RIPET,,Active,true
f51e6b2b-5d29-49eb-a0ac-931bbcd338ea,RIPET_12_SWITCHES_STUDY,RIPET 12 Switches Study,Pre-FID Project Work (DevEx),FAC_RIPET,,Active,true
317998d7-6abe-4161-88f4-a670888ddce5,RAILVUE_UPGRADE,Railvue Upgrade,Pre-FID Project Work (DevEx),FAC_RIPET,,Active,true
523e5afe-aed2-44ba-aff6-85064592468e,RAILRACK_HOSE_ESV_INSTALLATION,Railrack Hose ESV Installation,Pre-FID Project Work (DevEx),FAC_RIPET,,Active,true
8476bce8-ef20-4140-bbed-34a44ce38948,CONDY_PUMP_UPGRADES,Condy Pump Upgrades,Pre-FID Project Work (DevEx),FAC_ROSEDALE,,Active,true
7f5e2502-3837-4cce-a132-57de368f8aea,BURNER_MANAGEMENT_SYSTEM_UPGRADES,Burner Management System Upgrades,Pre-FID Project Work (DevEx),FAC_SLAVE_LAKE,,Active,true
32f64be8-5bf1-4328-beb9-74d87dd79987,DRILLSOL_TANK_AND_BLEND_TANK_MIXERS,Drillsol Tank and Blend Tank Mixers,Pre-FID Project Work (DevEx),FAC_SLAVE_LAKE,,Active,true
1a9043b4-d65b-4fa0-bafe-bf7688615123,RISK_REDUCTION_PROJECT,Risk Reduction Project,Pre-FID Project Work (DevEx),FAC_SLAVE_LAKE,,Active,true
ab176e5e-90fc-4e00-8654-cc7cb84742da,TRAIN_1_EXCHANGER_REPLACEMENT_E_130,Train 1 Exchanger Replacement (E-130),Pre-FID Project Work (DevEx),FAC_SUNDRE,,Active,true
cde7d336-55fe-45a8-b09b-3436a61bbcc2,TRAIN_1_EXCHANGER_REPLACEMENT_E_510,Train 1 Exchanger Replacement (E-510),Pre-FID Project Work (DevEx),FAC_SUNDRE,,Active,true
5ac8e0da-de20-4f1f-904d-0fe05587956b,RTU_PLC_SYSTEM_UPGRADE_WITH_SAFETY_SHUTD,RTU/PLC System Upgrade with Safety Shutdowns,Pre-FID Project Work (DevEx),FAC_YELLOWKNIFE,,Active,true
3fb2d129-ed93-472f-8f4c-47f07907675b,OFFLOAD_COMPRESSOR_VIBRATION,Offload Compressor Vibration,Pre-FID Project Work (DevEx),FAC_FERNDALE,,Active,true
eb3c7d26-06a3-47a2-9488-917f44c44157,C4_OUTAGES_SCOPES,C4 Outages Scopes,Pre-FID Project Work (DevEx),FAC_FERNDALE,,Active,true
356ba837-7de1-421e-8641-2b96cb5acbb1,INTALCO_PIER_EQUIPMENT_REMOVAL,Intalco Pier Equipment Removal,Pre-FID Project Work (DevEx),FAC_FERNDALE,,Active,true
0b560434-4064-4180-98ca-0780800e5ac5,P_85_VFD,P-85 VFD,Pre-FID Project Work (DevEx),FAC_FERNDALE,,Active,true
ad1e3051-7916-456d-99f5-717ca1a50cc8,FIREWATER_GAP_ASSESSMENT,Firewater Gap Assessment,Pre-FID Project Work (DevEx),FAC_FERNDALE,,Active,true
eafc16c8-e34c-4c87-95ed-64840cefa1da,CONTROL_ADMIN_BUILDING,Control/Admin Building,Pre-FID Project Work (DevEx),FAC_FERNDALE,,Active,true
0b3cd3bf-2b22-433a-87fe-db9c480d7fbb,T1_MOLE_SIEVE_LEAN_REGEN_GAS_SOURCE,T1 - Mole Sieve Lean Regen Gas Source,Pre-FID Project Work (DevEx),FAC_PIPESTONE,,Active,true
